,date,hashrate
1648,2013-07-16,212.8017373082041
1649,2013-07-17,212.8181449640761
1650,2013-07-18,218.30889074982295
1651,2013-07-19,214.59299473705997
1652,2013-07-20,215.3361739396125
1653,2013-07-21,222.0247867625858
1654,2013-07-22,227.9702203830065
1655,2013-07-23,236.15395950308695
1656,2013-07-24,237.86930249973366
1657,2013-07-25,240.6534039946498
1658,2013-07-26,239.10662636267125
1659,2013-07-27,247.21801452814796
1660,2013-07-28,249.0994826689177
1661,2013-07-29,252.1582357398624
1662,2013-07-30,249.05065184870207
1663,2013-07-31,257.9294629663028
1664,2013-08-01,267.91812547360365
1665,2013-08-02,278.5726988147245
1666,2013-08-03,281.23634215000465
1667,2013-08-04,292.1435324534282
1668,2013-08-05,298.2627314366096
1669,2013-08-06,312.40001693765663
1670,2013-08-07,321.52323666348263
1671,2013-08-08,324.0868070225849
1672,2013-08-09,336.66209222397435
1673,2013-08-10,349.7207870243852
1674,2013-08-11,355.03165698679044
1675,2013-08-12,366.45002740596163
1676,2013-08-13,376.2751368364114
1677,2013-08-14,395.36638220311653
1678,2013-08-15,404.19823092333024
1679,2013-08-16,410.8167120499623
1680,2013-08-17,417.64607194077456
1681,2013-08-18,432.2777425733752
1682,2013-08-19,446.5345402399756
1683,2013-08-20,449.9524543737449
1684,2013-08-21,445.9833469173606
1685,2013-08-22,464.74640034754094
1686,2013-08-23,479.5403463213367
1687,2013-08-24,495.0559481962934
1688,2013-08-25,514.4285926635633
1689,2013-08-26,510.1153164276665
1690,2013-08-27,521.9962090190123
1691,2013-08-28,536.996914753414
1692,2013-08-29,540.642312281752
1693,2013-08-30,558.0406324465631
1694,2013-08-31,571.0454694040684
1695,2013-09-01,584.5862041650807
1696,2013-09-02,621.4730333416313
1697,2013-09-03,655.0914093000066
1698,2013-09-04,661.1613938480466
1699,2013-09-05,690.604680363503
1700,2013-09-06,698.7825167292746
1701,2013-09-07,725.4965436960509
1702,2013-09-08,725.7367079605392
1703,2013-09-09,714.0654915006053
1704,2013-09-10,723.487776940836
1705,2013-09-11,751.9346930434816
1706,2013-09-12,768.6031960912435
1707,2013-09-13,796.3840345041799
1708,2013-09-14,808.7310737988183
1709,2013-09-15,841.4507279296103
1710,2013-09-16,895.8337966934439
1711,2013-09-17,911.8557879646768
1712,2013-09-18,938.5978664429738
1713,2013-09-19,935.2841392249851
1714,2013-09-20,962.8413772505467
1715,2013-09-21,987.5642554831587
1716,2013-09-22,1003.7840543369235
1717,2013-09-23,1022.180096767002
1718,2013-09-24,1063.7711492176152
1719,2013-09-25,1082.9670195794365
1720,2013-09-26,1188.3556169366873
1721,2013-09-27,1213.107895357236
1722,2013-09-28,1244.7440028901103
1723,2013-09-29,1275.8949047646004
1724,2013-09-30,1288.6785719866778
1725,2013-10-01,1285.2374816335432
1726,2013-10-02,1331.6116587078402
1727,2013-10-03,1288.2814380673476
1728,2013-10-04,1327.3843201087675
1729,2013-10-05,1329.497989408303
1730,2013-10-06,1371.7713753990272
1731,2013-10-07,1465.746415865673
1732,2013-10-08,1498.0842413682387
1733,2013-10-09,1500.6358817657642
1734,2013-10-10,1563.787432295817
1735,2013-10-11,1606.0798648341456
1736,2013-10-12,1655.8821947402787
1737,2013-10-13,1697.6924724543298
1738,2013-10-14,1733.98518564219
1739,2013-10-15,1875.12351470609
1740,2013-10-16,1998.7875744573157
1741,2013-10-17,2169.18496943319
1742,2013-10-18,2247.40088337291
1743,2013-10-19,2338.4042314949716
1744,2013-10-20,2489.9831825956585
1745,2013-10-21,2592.8446937244703
1746,2013-10-22,2628.205872683148
1747,2013-10-23,2768.270460810151
1748,2013-10-24,2753.06018355295
1749,2013-10-25,2810.0987232674456
1750,2013-10-26,2937.484795296484
1751,2013-10-27,3073.5608714457026
1752,2013-10-28,3154.2651073280254
1753,2013-10-29,3269.040948907445
1754,2013-10-30,3231.479432705328
1755,2013-10-31,3374.437282351972
1756,2013-11-01,3557.2878842719365
1757,2013-11-02,3628.4514713416866
1758,2013-11-03,3678.4224939003325
1759,2013-11-04,3731.1696843789036
1760,2013-11-05,3789.469210697324
1761,2013-11-06,3825.5593936563464
1762,2013-11-07,3869.223297958202
1763,2013-11-08,3847.7702135426603
1764,2013-11-09,3802.868954489952
1765,2013-11-10,3715.6663180774476
1766,2013-11-11,3781.1003266980842
1767,2013-11-12,3933.3951330735413
1768,2013-11-13,4147.204872727961
1769,2013-11-14,4241.541991442681
1770,2013-11-15,4295.967252239636
1771,2013-11-16,4404.817773833545
1772,2013-11-17,4600.748712702582
1773,2013-11-18,4826.5324820488295
1774,2013-11-19,4828.832367360081
1775,2013-11-20,4813.948366252034
1776,2013-11-21,4837.318485408744
1777,2013-11-22,4864.703950344798
1778,2013-11-23,4991.767501075791
1779,2013-11-24,4981.7825932810065
1780,2013-11-25,4890.88994822549
1781,2013-11-26,4960.141487315408
1782,2013-11-27,4999.095478053488
1783,2013-11-28,5012.080141632847
1784,2013-11-29,5159.239662198924
1785,2013-11-30,5370.127722771562
1786,2013-12-01,5472.737752085527
1787,2013-12-02,5707.892851911906
1788,2013-12-03,5747.665809673451
1789,2013-12-04,5992.328495838561
1790,2013-12-05,6163.027463281231
1791,2013-12-06,6234.333071786506
1792,2013-12-07,6364.947624458908
1793,2013-12-08,6525.703996978787
1794,2013-12-09,6445.325810718848
1795,2013-12-10,6606.082183238725
1796,2013-12-11,6948.166596301985
1797,2013-12-12,7078.181464205418
1798,2013-12-13,7289.9431420021
1799,2013-12-14,7300.759354148935
1800,2013-12-15,7626.345870173981
1801,2013-12-16,7875.325939909354
1802,2013-12-17,8140.687179720613
1803,2013-12-18,8114.884684697727
1804,2013-12-19,8450.317119995249
1805,2013-12-20,8772.848307781327
1806,2013-12-21,9005.070762987305
1807,2013-12-22,9081.910826564437
1808,2013-12-23,9325.823474388084
1809,2013-12-24,9414.272755427746
1810,2013-12-25,9535.623551892682
1811,2013-12-26,9623.433962774525
1812,2013-12-27,9731.244641570196
1813,2013-12-28,9895.81890411844
1814,2013-12-29,9904.20519132532
1815,2013-12-30,9770.02459601524
1816,2013-12-31,10063.544648256046
1817,2014-01-01,10088.703509876685
1818,2014-01-02,10323.519551669315
1819,2014-01-03,10293.075787777128
1820,2014-01-04,10467.423254797186
1821,2014-01-05,10582.920396900516
1822,2014-01-06,11138.171126177282
1823,2014-01-07,11294.205321512838
1824,2014-01-08,11760.629686481998
1825,2014-01-09,12067.812137499483
1826,2014-01-10,12420.37760061507
1827,2014-01-11,12813.236259515297
1828,2014-01-12,13407.560897338728
1829,2014-01-13,13508.293886800328
1830,2014-01-14,14305.126955430444
1831,2014-01-15,14378.515004436802
1832,2014-01-16,14567.21301322149
1833,2014-01-17,15285.627659730502
1834,2014-01-18,15195.207815765632
1835,2014-01-19,15181.505564858162
1836,2014-01-20,15605.925980390619
1837,2014-01-21,15351.757804814233
1838,2014-01-22,15580.509162832992
1839,2014-01-23,15821.968929630577
1840,2014-01-24,15542.38393649655
1841,2014-01-25,16651.586929614194
1842,2014-01-26,16994.944758477523
1843,2014-01-27,17149.323695237592
1844,2014-01-28,17331.990579226876
1845,2014-01-29,17732.347652035136
1846,2014-01-30,17779.317059221492
1847,2014-01-31,18009.94644865448
1848,2014-02-01,17822.991987249763
1849,2014-02-02,18477.332602166276
1850,2014-02-03,18757.764294273362
1851,2014-02-04,19271.889063136332
1852,2014-02-05,19318.627678487515
1853,2014-02-06,20040.36538776773
1854,2014-02-07,20656.480750335646
1855,2014-02-08,20861.45555518836
1856,2014-02-09,21050.05453471475
1857,2014-02-10,21087.885125929508
1858,2014-02-11,20913.674736843735
1859,2014-02-12,21389.574253358103
1860,2014-02-13,21315.11098354659
1861,2014-02-14,21557.11661043402
1862,2014-02-15,22041.127864208876
1863,2014-02-16,22134.206951473276
1864,2014-02-17,22916.071284494206
1865,2014-02-18,23757.12832434262
1866,2014-02-19,24359.788480755164
1867,2014-02-20,25495.838098874538
1868,2014-02-21,25945.390872017462
1869,2014-02-22,26123.495970465363
1870,2014-02-23,26417.47681727712
1871,2014-02-24,26869.494133481574
1872,2014-02-25,27225.087107952782
1873,2014-02-26,27291.76079066614
1874,2014-02-27,27069.515181621642
1875,2014-02-28,27313.985351570595
1876,2014-03-01,28674.53967216545
1877,2014-03-02,29040.102757113724
1878,2014-03-03,29032.720982763483
1879,2014-03-04,28835.658549541968
1880,2014-03-05,28823.999136229042
1881,2014-03-06,29164.00876656257
1882,2014-03-07,29508.891072973256
1883,2014-03-08,28939.849096359452
1884,2014-03-09,29671.474494862923
1885,2014-03-10,30077.933049587078
1886,2014-03-11,30701.16950016411
1887,2014-03-12,31486.989372630807
1888,2014-03-13,31676.67003150208
1889,2014-03-14,32387.807913917877
1890,2014-03-15,32057.976130933916
1891,2014-03-16,32597.94662868713
1892,2014-03-17,32922.879427626074
1893,2014-03-18,33824.370643244554
1894,2014-03-19,33648.538319377316
1895,2014-03-20,33774.53382234064
1896,2014-03-21,33714.16825697453
1897,2014-03-22,34981.84512966292
1898,2014-03-23,35012.027912345984
1899,2014-03-24,36430.61869844965
1900,2014-03-25,37064.45713479384
1901,2014-03-26,38056.91805617808
1902,2014-03-27,38996.44354061911
1903,2014-03-28,39893.78013414721
1904,2014-03-29,40937.454661283635
1905,2014-03-30,41705.37043345701
1906,2014-03-31,40815.752282461435
1907,2014-04-01,40782.79588582992
1908,2014-04-02,41778.36544537938
1909,2014-04-03,42738.378949230646
1910,2014-04-04,44196.177232856666
1911,2014-04-05,44836.18623542418
1912,2014-04-06,46535.26769346952
1913,2014-04-07,47408.598140282076
1914,2014-04-08,47780.199662514664
1915,2014-04-09,48195.27490628145
1916,2014-04-10,47918.96444822329
1917,2014-04-11,48128.63571174965
1918,2014-04-12,47457.26449620609
1919,2014-04-13,46631.542861198825
1920,2014-04-14,49108.70776622058
1921,2014-04-15,50673.23296939221
1922,2014-04-16,52368.13527282814
1923,2014-04-17,52541.97140651387
1924,2014-04-18,53560.08428171079
1925,2014-04-19,54816.05164062902
1926,2014-04-20,55940.889781725484
1927,2014-04-21,55717.74576919998
1928,2014-04-22,56580.32547465287
1929,2014-04-23,55738.05725338113
1930,2014-04-24,57935.66501893736
1931,2014-04-25,56597.54444108337
1932,2014-04-26,56994.02461229938
1933,2014-04-27,57737.424933329356
1934,2014-04-28,57588.74486912337
1935,2014-04-29,57043.58463370138
1936,2014-04-30,57241.824719309385
1937,2014-05-01,56864.23877796954
1938,2014-05-02,59124.327899503674
1939,2014-05-03,60655.5325175327
1940,2014-05-04,60015.63065165797
1941,2014-05-05,60375.432462520854
1942,2014-05-06,59250.710180345515
1943,2014-05-07,61988.36180941779
1944,2014-05-08,62954.26662221349
1945,2014-05-09,62272.451460240045
1946,2014-05-10,62045.179739582236
1947,2014-05-11,63920.17143500918
1948,2014-05-12,64715.62245731151
1949,2014-05-13,67484.32358155583
1950,2014-05-14,67604.47014495586
1951,2014-05-15,67773.98421108087
1952,2014-05-16,69347.179701203
1953,2014-05-17,71358.15180252657
1954,2014-05-18,72806.998916594
1955,2014-05-19,73057.54817043715
1956,2014-05-20,74314.99306149459
1957,2014-05-21,74880.84326247044
1958,2014-05-22,76641.26610995086
1959,2014-05-23,76704.13835450374
1960,2014-05-24,75195.2044852348
1961,2014-05-25,76163.74374620397
1962,2014-05-26,77693.3119072989
1963,2014-05-27,79113.33558805044
1964,2014-05-28,77437.57668109036
1965,2014-05-29,79388.73573701018
1966,2014-05-30,78615.94566961486
1967,2014-05-31,80785.03628208008
1968,2014-06-01,79597.02104263773
1969,2014-06-02,81676.04771166183
1970,2014-06-03,82418.55723631331
1971,2014-06-04,86799.36343175698
1972,2014-06-05,87244.86914654785
1973,2014-06-06,88284.38248105989
1974,2014-06-07,88537.81467555478
1975,2014-06-08,90025.45117981204
1976,2014-06-09,89257.84566792287
1977,2014-06-10,87321.39742462565
1978,2014-06-11,88139.73003683714
1979,2014-06-12,86741.1656489708
1980,2014-06-13,88915.5363535424
1981,2014-06-14,90585.31168412536
1982,2014-06-15,92505.55331429576
1983,2014-06-16,95511.148909345
1984,2014-06-17,101104.89626679789
1985,2014-06-18,101188.38503332704
1986,2014-06-19,105251.71695701474
1987,2014-06-20,106747.17265898753
1988,2014-06-21,110407.81276347012
1989,2014-06-22,113782.95901423584
1990,2014-06-23,116705.6338782264
1991,2014-06-24,114862.85727420369
1992,2014-06-25,118931.46261857284
1993,2014-06-26,120461.127732638
1994,2014-06-27,122373.20912521957
1995,2014-06-28,122564.4172644777
1996,2014-06-29,122373.20912521957
1997,2014-06-30,124703.444174775
1998,2014-07-01,124527.46991473656
1999,2014-07-02,122079.99761863599
2000,2014-07-03,120899.20990801525
2001,2014-07-04,120435.86874224569
2002,2014-07-05,121667.62771054369
2003,2014-07-06,121943.90067939484
2004,2014-07-07,118958.00693112356
2005,2014-07-08,120630.1074301554
2006,2014-07-09,123496.56542849584
2007,2014-07-10,125885.28042711284
2008,2014-07-11,128393.43117566056
2009,2014-07-12,127199.073676352
2010,2014-07-13,128751.73842545299
2011,2014-07-14,129915.25749625657
2012,2014-07-15,131165.1145060147
2013,2014-07-16,128806.15627597684
2014,2014-07-17,130129.56397679329
2015,2014-07-18,132788.83013416658
2016,2014-07-19,134448.47987745813
2017,2014-07-20,135917.06607007585
2018,2014-07-21,137886.87862181614
2019,2014-07-22,138379.33175975113
2020,2014-07-23,138994.89818217
2021,2014-07-24,136655.74577697844
2022,2014-07-25,133947.25351833558
2023,2014-07-26,133701.026949368
2024,2014-07-27,131153.4132534286
2025,2014-07-28,131646.20681174673
2026,2014-07-29,131397.9737664976
2027,2014-07-30,133618.15132856887
2028,2014-07-31,138928.45083802432
2029,2014-08-01,141075.2298087383
2030,2014-08-02,142104.046280473
2031,2014-08-03,145962.67675063573
2032,2014-08-04,144765.1707426543
2033,2014-08-05,144632.1145195453
2034,2014-08-06,142370.1587266913
2035,2014-08-07,139442.921818292
2036,2014-08-08,139842.09048761913
2037,2014-08-09,142042.10679820742
2038,2014-08-10,143794.53671517057
2039,2014-08-11,148649.57901304757
2040,2014-08-12,156186.90539780844
2041,2014-08-13,163983.29102055315
2042,2014-08-14,165622.86960576818
2043,2014-08-15,168551.64590601003
2044,2014-08-16,168831.86476869663
2045,2014-08-17,168551.64590600992
2046,2014-08-18,166590.11386720347
2047,2014-08-19,165609.34784780032
2048,2014-08-20,169112.0836313833
2049,2014-08-21,173869.3809595736
2050,2014-08-22,178498.57707581288
2051,2014-08-23,182923.21423459702
2052,2014-08-24,185549.64738442973
2053,2014-08-25,190202.0620991807
2054,2014-08-26,188373.41831396226
2055,2014-08-27,187620.01062273973
2056,2014-08-28,188128.00704139346
2057,2014-08-29,190329.32485555919
2058,2014-08-30,191175.98555331517
2059,2014-08-31,193715.9676465833
2060,2014-09-01,198965.26397267077
2061,2014-09-02,205492.28522401236
2062,2014-09-03,205237.19337199235
2063,2014-09-04,208945.29853252336
2064,2014-09-05,210825.0290594278
2065,2014-09-06,211738.63832545592
2066,2014-09-07,215337.14162799594
2067,2014-09-08,214261.87164215933
2068,2014-09-09,214846.2222011833
2069,2014-09-10,212703.60348476173
2070,2014-09-11,212119.25292573773
2071,2014-09-12,211145.3353273643
2072,2014-09-13,213482.7375634606
2073,2014-09-14,215235.78924053276
2074,2014-09-15,219303.2195878708
2075,2014-09-16,220852.90155382035
2076,2014-09-17,230941.5696626661
2077,2014-09-18,240592.13066096482
2078,2014-09-19,248226.65106888642
2079,2014-09-20,251183.75303059025
2080,2014-09-21,253354.50222640412
2081,2014-09-22,254413.67656681553
2082,2014-09-23,256320.19037955598
2083,2014-09-24,252507.16275407493
2084,2014-09-25,246999.45618393578
2085,2014-09-26,242339.08908612563
2086,2014-09-27,245190.03375575066
2087,2014-09-28,240049.41444020608
2088,2014-09-29,237192.74211888437
2089,2014-09-30,237902.9504475538
2090,2014-10-01,243330.22564157363
2091,2014-10-02,244492.45359017779
2092,2014-10-03,246393.12246525107
2093,2014-10-04,243931.6527103534
2094,2014-10-05,247623.8573426998
2095,2014-10-06,257223.58938680036
2096,2014-10-07,262638.82284757507
2097,2014-10-08,262392.6758720853
2098,2014-10-09,258946.61821522863
2099,2014-10-10,257813.66017560105
2100,2014-10-11,262629.4035253776
2101,2014-10-12,262975.7493373739
2102,2014-10-13,255949.79587810376
2103,2014-10-14,254597.33284852465
2104,2014-10-15,252228.7959340776
2105,2014-10-16,256523.18134865118
2106,2014-10-17,258511.7331420516
2107,2014-10-18,252297.50878767547
2108,2014-10-19,258760.30211622673
2109,2014-10-20,255280.33647777615
2110,2014-10-21,251551.80186515042
2111,2014-10-22,251551.80186515042
2112,2014-10-23,257517.45724535154
2113,2014-10-24,256775.8812466894
2114,2014-10-25,265122.4256358902
2115,2014-10-26,261957.99668838008
2116,2014-10-27,261871.36335582822
2117,2014-10-28,265645.92008758534
2118,2014-10-29,269178.88971104537
2119,2014-10-30,263472.91609476035
2120,2014-10-31,271139.4412963538
2121,2014-11-01,277528.21229768166
2122,2014-11-02,279572.61901810655
2123,2014-11-03,288261.3475799122
2124,2014-11-04,289794.6526202308
2125,2014-11-05,293372.3643809744
2126,2014-11-06,301572.1046185735
2127,2014-11-07,298142.20850664045
2128,2014-11-08,290597.8056613779
2129,2014-11-09,293583.7559279962
2130,2014-11-10,290766.3525813445
2131,2014-11-11,295592.54531329393
2132,2014-11-12,293337.63023170776
2133,2014-11-13,286306.5269183879
2134,2014-11-14,286587.7710509206
2135,2014-11-15,287150.2593159862
2136,2014-11-16,285462.79452078935
2137,2014-11-17,287150.2593159862
2138,2014-11-18,285462.79452078947
2139,2014-11-19,287993.9917135846
2140,2014-11-20,289233.9732779993
2141,2014-11-21,287380.2693845533
2142,2014-11-22,281806.1040828413
2143,2014-11-23,284837.39978030947
2144,2014-11-24,284409.69737578573
2145,2014-11-25,286019.93679089606
2146,2014-11-26,280465.5523154425
2147,2014-11-27,282182.6883500269
